date,cost_category,daily_cost_usd,monthly_projected_usd,cost_efficiency_percent,savings_opportunity_usd,resource_utilization_percent,cost_per_request_usd,cost_trend,optimization_recommendation
2024-01-04,Compute,183.38906496448152,5501.671948934446,85.68522422285889,266.83737759656105,94.1057855100215,0.00018338906496448152,STABLE,Use cheaper storage tier
2024-01-04,Storage,115.38479889965048,3461.5439669895145,60.48279210113353,142.9478225465174,88.14694442255299,0.00011538479889965047,STABLE,Implement compression
2024-01-04,Network,69.69179221039855,2090.7537663119565,95.89596622714976,93.36905116047451,73.42273215887639,6.969179221039854e-05,STABLE,Reduce cross-region traffic
2024-01-04,Cache,53.93433839157253,1618.030151747176,85.07518454708716,68.96702856794604,89.36034025686997,5.393433839157253e-05,INCREASING,Scale down during off-peak
2024-01-04,Backup,23.786936576349298,713.6080972904789,87.02440113453108,82.32292042355972,80.72223241391433,2.3786936576349298e-05,INCREASING,Implement compression
2024-01-04,Monitoring,25.717449253260032,771.5234775978009,95.04031065785733,95.11713064196616,80.85035892301003,2.5717449253260032e-05,INCREASING,Reduce cross-region traffic
2024-01-05,Compute,191.93211689703432,5757.96350691103,80.8270867953498,169.96437368555348,76.03071974166761,0.0001919321168970343,DECREASING,Reduce cross-region traffic
2024-01-05,Storage,125.27427242349476,3758.228172704843,72.14411901701811,220.69575203174634,80.66977819178551,0.00012527427242349477,STABLE,Scale down during off-peak
2024-01-05,Network,68.55192064469783,2056.5576193409347,92.85337413638297,104.70624803674828,72.67723960208765,6.855192064469783e-05,STABLE,Reduce cross-region traffic
2024-01-05,Cache,49.62242628629213,1488.672788588764,85.0898922277522,43.636476300807864,77.31001356909141,4.9622426286292134e-05,STABLE,Optimize cache sizing
2024-01-05,Backup,24.613599847939597,738.4079954381879,95.83281771659699,24.151696232109487,84.86376786720605,2.4613599847939596e-05,STABLE,Scale down during off-peak
2024-01-05,Monitoring,23.157338568038984,694.7201570411695,95.55271426051175,68.0249973531105,92.7094411184296,2.3157338568038983e-05,DECREASING,Reduce cross-region traffic
2024-01-06,Compute,210.44710541642974,6313.413162492892,79.19615344657959,394.34438199344874,88.90064062712325,0.00021044710541642974,DECREASING,Implement compression
2024-01-06,Storage,130.51073083620818,3915.3219250862453,72.98059793929026,253.60543098544017,90.95988154014795,0.00013051073083620817,DECREASING,Reduce cross-region traffic
2024-01-06,Network,75.92867962389828,2277.8603887169484,81.1378117352158,149.68751256539227,78.29092108423329,7.592867962389828e-05,INCREASING,Scale down during off-peak
2024-01-06,Cache,52.882007048786214,1586.4602114635863,90.49703516684032,58.76263199682063,78.57595062627384,5.2882007048786217e-05,DECREASING,Optimize cache sizing
2024-01-06,Backup,25.860499268555554,775.8149780566666,90.81631182613526,78.93979406934135,70.54842644815503,2.5860499268555555e-05,DECREASING,Implement compression
2024-01-06,Monitoring,27.098517299375015,812.9555189812504,89.30485595667952,63.81290291269819,84.93317689036338,2.7098517299375015e-05,INCREASING,Reduce cross-region traffic
2024-01-07,Compute,193.74165317960575,5812.249595388173,94.53517552769705,391.42969784446313,71.7063448014049,0.00019374165317960574,DECREASING,Optimize cache sizing
2024-01-07,Storage,128.24882704370717,3847.464811311215,70.9191007256845,88.02030704428915,88.42552903231528,0.00012824882704370717,STABLE,Implement compression
2024-01-07,Network,79.64996414465293,2389.4989243395876,89.71359454910477,113.11914914419033,83.9636668261198,7.964996414465293e-05,STABLE,Reduce cross-region traffic
2024-01-07,Cache,53.29508321240968,1598.8524963722903,89.30372817832627,14.279581055044435,77.54214727180882,5.329508321240968e-05,INCREASING,Implement compression
2024-01-07,Backup,23.186551172170926,695.5965351651278,88.66184655186636,44.93471016051133,80.42522012527293,2.3186551172170927e-05,STABLE,Reduce cross-region traffic
2024-01-07,Monitoring,23.487943927817195,704.6383178345159,93.83857581662846,71.69731190151346,74.53281484920926,2.3487943927817193e-05,INCREASING,Implement compression
2024-01-07,TOTAL,3507.5373820303626,105226.12146091087,81.83595676579894,1447.6473277883256,81.8879580815555,0.0007015074764060726,INCREASING,Review all optimization opportunities
